Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,Medicine,Dosage_Info_Medicine,Duration_Medicine,Notes_Medicine,Diet_For_Recovery,Dosage_Info_Diet,Duration_Diet,Notes_Diet,Vaccination_Name,Age_To_Give,Type,Duration_Vaccine,Notes_Vaccine
Dog,Labrador,4,Male,25,Fever,Lethargy,Appetite Loss,Vomiting,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5°C,120,Parvovirus,"Parvaid, Electrolytes, Antibiotics",5 ml twice daily,5–7 days,"Supportive care, hydration","Boiled chicken, rice, electrolyte water",3 times daily,1 week,"Small portions, frequently",Canine Parvo Vaccine,6–8 weeks,Core,Annual booster,Essential for puppies
Cat,Siamese,2,Female,4.5,Coughing,Sneezing,Eye Discharge,Nasal Discharge,1 week,No,No,No,Yes,No,No,No,Yes,Yes,38.9°C,150,Upper Respiratory Infection,"Doxycycline, Clavamox",10 mg/kg once daily,7 days,Maintain warmth and hydration,"Warm soft food, high-calorie paste",2–3 times daily,1 week,Easy to chew and swallow,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against multiple viruses
Cow,Holstein,3,Female,600,Fever,Nasal Discharge,Labored Breathing,Coughing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.1°C,90,Foot and Mouth Disease,"Anti-inflammatory, Supportive care",As per vet,7–10 days,Isolate infected animals,"Soft hay, warm water, minerals",Free access,10 days,Avoid hard/dry food,FMD Vaccine,3–6 months,Essential (livestock),6–12 months,Mandatory for cattle
Dog,Beagle,1,Male,10,Diarrhea,Vomiting,Lethargy,Appetite Loss,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,130,Gastroenteritis,"Metronidazole, Fluids",15 mg/kg twice daily,3–5 days,Give probiotics too,"Bland diet (rice, boiled meat), probiotics",2–3 times daily,5–7 days,Hydration is critical,Not applicable,N/A,N/A,N/A,Preventive hygiene only
Cat,Persian,5,Male,3.8,Lethargy,Appetite Loss,Skin Lesions,No,2 weeks,Yes,No,No,No,No,No,Yes,No,No,38.7°C,160,Fungal Infection,"Itraconazole, Topical antifungal",10 mg/kg/day,3–4 weeks,Apply cream externally,Regular diet + immune boosters,Normal feeding schedule,2 weeks,Maintain hygiene,No vaccine available,N/A,N/A,N/A,Prevent via hygiene
Horse,Thoroughbred,6,Female,500,Coughing,Labored Breathing,Nasal Discharge,Fever,10 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.8°C,85,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Dog,German Shepherd,3,Female,30,Lameness,Fever,Skin Lesions,Lethargy,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,110,Lyme Disease,"Doxycycline, Anti-inflammatories",10 mg/kg daily,28-30 days,Early treatment is essential,Regular diet with joint supplements,Normal feeding schedule,2-3 weeks,Omega-3 fatty acids may help reduce inflammation,Lyme Vaccine,"9 weeks, with booster 2-4 weeks later",Non-core,Annual,Recommended for dogs in high-risk areas with ticks
Cat,Maine Coon,2,Male,6,Vomiting,Appetite Loss,Lethargy,Diarrhea,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,140,Intestinal Parasites,"Fenbendazole, Praziquantel",50 mg/kg once daily,3-5 days,Repeat treatment in 2-3 weeks,Easily digestible diet with probiotics,"Small, frequent meals",1-2 weeks,Ensure adequate hydration,No vaccine available,N/A,N/A,N/A,Regular deworming recommended
Dog,Bulldog,5,Male,23,Labored Breathing,Coughing,Nasal Discharge,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0°C,115,Canine Distemper,"Antibiotics, Anticonvulsants, Supportive care",As directed by veterinarian,2-4 weeks,Treat secondary infections and symptoms,"High-calorie, easily digestible diet","Small, frequent meals",2-3 weeks,May need assisted feeding if appetite is poor,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including distemper"
Cow,Jersey,4,Female,580,Lethargy,Decreased Milk Yield,Fever,No,8 days,Yes,No,No,No,No,No,No,No,No,39.6°C,70,Mastitis,"Intramammary antibiotics, Anti-inflammatories",As directed by veterinarian,3-5 days,Frequent milking of affected quarters,"High-quality forage, vitamin supplements",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,J-5 Bacterin,Pre-calving,Non-core,Annual,Helps reduce severity of coliform mastitis
